date,equity,cash,positions,regime,gross_exposure
2024-03-13,145193.01961772548,4860.0196177254975,12,RISK_ON,0.9665271813306088
2024-03-14,144526.01961772548,4860.0196177254975,12,RISK_ON,0.9663727013960507
2024-03-15,144155.01961772548,4860.0196177254975,12,RISK_ON,0.9662861575641735
2024-03-18,141022.01961772548,4860.0196177254975,12,RISK_ON,0.9655371577367864
2024-03-19,141971.01961772548,4860.0196177254975,12,RISK_ON,0.9657675233240439
2024-03-20,142854.01961772548,4860.0196177254975,12,RISK_ON,0.9659791188884232
2024-03-21,142897.01961772548,4860.0196177254975,12,RISK_ON,0.9659893563159897
2024-03-22,143971.4307017255,84.43070172550142,12,RISK_ON,0.9994135593338623
2024-03-25,143120.4307017255,84.43070172550142,12,RISK_ON,0.9994100723334081
2024-03-26,144146.4307017255,84.43070172550142,12,RISK_ON,0.9994142712981897
2024-03-27,145322.4307017255,84.43070172550142,12,RISK_ON,0.9994190112199623
2024-03-28,145244.8293637255,3219.829363725501,12,RISK_ON,0.9778317109267806
2024-03-29,144237.8293637255,3219.829363725501,12,RISK_ON,0.977676942464199
2024-04-01,143586.8293637255,3219.829363725501,12,RISK_ON,0.9775757332480041
2024-04-02,145021.8293637255,3219.829363725501,12,RISK_ON,0.9777976227589164
2024-04-03,144002.8293637255,3219.829363725501,12,RISK_ON,0.9776405131902458
2024-04-04,141498.8293637255,3219.829363725501,12,NEUTRAL,0.9772448339099056
2024-04-05,139165.8293637255,3219.829363725501,12,RISK_ON,0.9768633623753277
2024-04-08,138709.6179442255,5819.617944225509,12,RISK_ON,0.9580445968313059
2024-04-09,139993.6179442255,5819.617944225509,12,RISK_ON,0.958429405356578
2024-04-10,139343.6179442255,5819.617944225509,12,NEUTRAL,0.9582354898625146
2024-04-11,138815.6179442255,5819.617944225509,12,NEUTRAL,0.9580766340962892
2024-04-12,140537.6179442255,5819.617944225509,12,RISK_ON,0.958590318881489
2024-04-15,135378.8561572255,26480.856157225513,10,NEUTRAL,0.804394446009565
2024-04-16,135310.6877302255,40518.687730225516,8,NEUTRAL,0.7005507221202713
2024-04-17,134431.6877302255,40518.687730225516,8,NEUTRAL,0.6985927320087099
2024-04-19,133384.5291962255,46968.529196225514,6,RISK_OFF,0.6478712375471306
2024-04-22,134923.5291962255,46968.529196225514,6,NEUTRAL,0.6518877806115121
2024-04-23,134042.96867622552,45926.968676225515,7,NEUTRAL,0.6573712957136906
2024-04-24,137353.8119402255,49182.81194022552,6,NEUTRAL,0.641926123159733
2024-04-25,137135.8119402255,49182.81194022552,6,NEUTRAL,0.6413569056515798
2024-04-26,137766.8119402255,49182.81194022552,6,NEUTRAL,0.6429995639184491
2024-05-02,140217.8119402255,49182.81194022552,6,NEUTRAL,0.6492399128208333
2024-05-03,139582.8119402255,49182.81194022552,6,NEUTRAL,0.6476442102249137
2024-05-06,140375.8119402255,49182.81194022552,6,NEUTRAL,0.6496347108491283
2024-05-07,141115.8119402255,49182.81194022552,6,NEUTRAL,0.6514719983253288
2024-05-08,141983.8119402255,49182.81194022552,6,NEUTRAL,0.6536026799947361
2024-05-09,142792.8119402255,49182.81194022552,6,NEUTRAL,0.6555652117782097
2024-05-10,141821.8119402255,49182.81194022552,6,NEUTRAL,0.6532069977997821
2024-05-13,140399.0983692255,48039.09836922552,7,NEUTRAL,0.6578389823922449
2024-05-14,141120.0983692255,48039.09836922552,7,NEUTRAL,0.6595871252616591
2024-05-15,141013.0983692255,48039.09836922552,7,NEUTRAL,0.6593288217563944
2024-05-16,141309.56785922553,47017.56785922552,8,NEUTRAL,0.6672725805370443
2024-05-17,141862.72158422554,4403.721584225532,12,RISK_ON,0.9689578662029897
2024-05-20,142837.72158422554,4403.721584225532,12,RISK_ON,0.9691697575725552
2024-05-21,143864.72158422554,4403.721584225532,12,RISK_ON,0.9693898439052177
2024-05-22,142064.72158422554,4403.721584225532,12,RISK_ON,0.9690020046136879
2024-05-23,144063.72158422554,4403.721584225532,12,RISK_ON,0.9694321267297614
2024-05-24,140220.72158422554,4403.721584225532,12,RISK_ON,0.968594359417981
2024-05-27,140342.72158422554,4403.721584225532,12,RISK_ON,0.9686216603574794
2024-05-28,141620.72158422554,4403.721584225532,12,RISK_ON,0.9689048217311438
2024-05-29,140170.20549122553,5807.205491225532,11,RISK_ON,0.9585703290447908
2024-05-30,140488.20549122553,5807.205491225532,11,RISK_ON,0.9586641065638195
