symbol,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,strategy_ids,family_votes
EVF,2023-11-15,2024-02-23,13.8069,16.47176,800,11045.52,13151.053184,2105.533184,0.1906232738703112,TAKE_PROFIT,66,"qa_055,qa_017,qa_013","mean_reversion,structure,trend"
DGC,2024-01-19,2024-03-07,86.31313499999999,104.78758,100,8631.313499999998,10457.800484,1826.486984000001,0.2116117070710039,TAKE_PROFIT,29,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
PNJ,2023-11-15,2024-03-11,49.99498499999999,61.199385,200,9998.997,12215.397246,2216.400246000001,0.22166225732440975,TAKE_PROFIT,77,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
SBT,2024-03-07,2024-03-13,11.455725,10.674660000000001,1000,11455.724999999999,10653.310680000002,-802.4143199999962,-0.07004483085967901,STOP_LOSS,4,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
ACB,2023-11-15,2024-03-22,16.14807,19.820085,700,11303.649000000001,13846.311381,2542.6623809999983,0.22494173173636212,TAKE_PROFIT,86,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
VNM,2023-11-15,2024-03-28,60.710339999999995,59.850060000000006,100,6071.034,5973.0359880000005,-97.99801199999911,-0.016141898068763757,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
VCB,2023-11-15,2024-03-28,57.46872,63.848060000000004,200,11493.743999999999,12744.072776,1250.328776000002,0.10878341957155147,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
PAN,2023-12-08,2024-03-28,19.30965,23.438275,100,1930.9650000000001,2339.1398449999997,408.17484499999955,0.21138386506228726,TAKE_PROFIT,73,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
NT2,2024-02-07,2024-04-08,23.09154,21.3893,2400,55419.695999999996,51231.651359999996,-4188.04464,-0.07556960687767035,STOP_LOSS,38,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
LPB,2023-12-07,2024-04-15,12.6063,15.582205,200,2521.2599999999998,3110.208118,588.9481180000002,0.23359277424779687,TAKE_PROFIT,86,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
VCG,2024-03-22,2024-04-15,20.67033,19.540225000000003,900,18603.297,17551.030095000002,-1052.2669049999968,-0.05656346318612216,STOP_LOSS,16,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
HSG,2023-12-28,2024-04-16,16.358175,15.502245,500,8179.0875,7735.620255000001,-443.4672449999989,-0.054219647974177915,STOP_LOSS,72,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
DXS,2024-03-28,2024-04-16,7.513755,7.01649,900,6762.3795,6302.211318000001,-460.16818199999943,-0.06804826348476885,STOP_LOSS,13,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
HPG,2023-12-06,2024-04-19,20.65032,21.04947,100,2065.032,2100.737106,35.70510599999989,0.017290340294968738,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
VIC,2024-03-28,2024-04-19,23.541765,21.7891,200,4708.353,4349.10436,-359.2486399999998,-0.07630027740061117,STOP_LOSS,15,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
PLX,2023-12-11,2024-04-24,33.446715,32.62368,100,3344.6715,3255.843264,-88.82823599999983,-0.026558134632952694,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
BSR,2024-05-13,2024-05-29,11.425709999999999,14.062965000000002,100,1142.571,1403.483907,260.91290700000013,0.22835596825055088,TAKE_PROFIT,12,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
SCS,2024-03-28,2024-06-06,64.322145,78.33081500000002,100,6432.214500000001,7817.415337000001,1385.2008370000003,0.2153536448450219,TAKE_PROFIT,46,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
REE,2024-02-23,2024-06-13,43.151565,54.762605,300,12945.4695,16395.923937,3450.4544370000003,0.26653760506716273,TAKE_PROFIT,75,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KDC,2024-03-13,2024-06-19,61.320645,57.691140000000004,100,6132.0644999999995,5757.575772,-374.48872799999936,-0.06107057875858928,STOP_LOSS,66,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
BMP,2024-06-13,2024-07-01,95.20758,88.07594,100,9520.758,8789.978812000001,-730.7791879999986,-0.0767564082607707,STOP_LOSS,12,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
SHB,2024-03-11,2024-07-19,8.494245,8.625685,1500,12741.367499999998,12912.650445000001,171.28294500000266,0.01344305821176594,MAX_HOLDING,90,"qa_055,qa_068,qa_103,qa_013,qa_071,qa_095","mean_reversion,structure,volatility"
VGC,2024-06-19,2024-07-22,50.52525,46.95651,200,10105.05,9372.519396,-732.5306039999996,-0.07249153680585446,STOP_LOSS,23,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
VSC,2024-05-17,2024-07-23,15.317655,14.57271,700,10722.3585,10180.495206000001,-541.8632939999989,-0.050535830712990885,SIGNAL_OFF,47,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
BWE,2024-07-09,2024-07-23,42.161069999999995,39.900040000000004,200,8432.214,7964.047984000001,-468.1660159999992,-0.05552112600557804,STOP_LOSS,10,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
