strategy_id,family,logic,conditions,risk,symbols_tested,avg_score,score_std,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades,risk_rejections,qa_score
qa_061,structure,OR,aroon_up_14 > aroon_down_14 | breakout_20_high >= True | volume_ratio_20 > 1.5,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",5,0.5611062610311783,0.8349641555962165,0.20543876491081237,1.0518442286682084,-0.13223741388084748,0.47575441919191924,197,4,0.3225857117142059
qa_015,mean_reversion,AND,volume_ratio_20 > 1.0 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",18,0.14274658264664275,0.5028969795859617,0.00763643026488471,0.28670230402842894,-0.01447749223518566,0.4815856129685917,176,4,0.32166551750924116
qa_078,hybrid,OR,obv > obv_ema20 | adx_14 > 20 | close > ema50 | rsi_14 > 50,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",13,0.4024313903921209,0.8054728129751226,0.16553032638501378,0.7822428249230914,-0.191745599924645,0.403987220373775,171,4,0.31340494587720225
qa_070,hybrid,OR,supertrend_dir > 0 | adx_14 > 20,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",16,0.2798788724450657,0.6590417692872282,0.07227418662598858,0.5814504910522642,-0.16264314534431476,0.4581204026325978,224,7,0.3122891523240257
qa_063,mean_reversion,AND,volume_ratio_20 > 1.0 | close <= bb_lower,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",20,0.15084626588580177,0.677914743457542,0.00690154492680168,0.3047427648706462,-0.017977900137809318,0.5573904179408766,309,4,0.30728384062742886
qa_010,momentum,OR,rsi_21 > 55 | macd_hist > 0,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",12,0.2767528108373854,0.5261452929855253,0.06045702826837466,0.5645248895514041,-0.11823371209414527,0.403121492704826,249,5,0.2912201590595007
qa_047,mean_reversion,OR,adx_14 < 25 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",10,0.3114325077030644,0.6010720003688642,0.050242721642000485,0.6274715894462448,-0.08688051756329054,0.5683931148216862,103,4,0.27064912642681027
qa_111,mean_reversion,OR,adx_14 < 25 | rsi_14 < 35 | close <= bb_lower,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",7,0.3482676455439269,0.542389316341551,0.05708756718212787,0.7056642288870678,-0.10845369527122652,0.5455988455988455,69,4,0.26047259147945484
qa_053,structure,OR,close > supertrend_10_3 | breakdown_20_low <= False,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",10,0.39029371992200385,0.8417470060992277,0.11232707609724875,0.7780587226248575,-0.162168821097998,0.45373778268515114,124,7,0.2389231804029749
qa_005,structure,OR,close > high_20_prev | breakdown_20_low <= False | volume_ratio_20 > 1.5,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",12,0.3600776324710182,0.8770112999064824,0.1109933331422795,0.7276178114636171,-0.1851463660173707,0.40932339265672596,205,5,0.2283224493976696
