symbol,strategy_id,family,folds,total_return,sharpe_ratio,max_drawdown,win_rate,number_of_trades,test_score,score_std,instability_penalty,final_score,conditions,logic,risk
VJC,qa_106,momentum,1,-0.06422022446406073,-0.5230119950846551,-0.13256869491261636,0.5,8,-0.30728580386406906,0.0,0.07206932261184737,-0.3793551264759164,willr_14 > -50 | macd_hist > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VJC,qa_015,mean_reversion,7,-0.004314942345270697,-0.41807450891932263,-0.00877723699505246,0.38095238095238093,10,-0.212087184562253,0.6964903563196293,0.06501576687623867,-0.451225540518399,volume_ratio_20 > 1.0 | rsi_14 < 35 | close <= bb_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_007,mean_reversion,2,-0.033657123098127184,-0.403619175180188,-0.03732014187524302,0.6,6,-0.21937075289458075,1.0936843222241424,0.035112509516096624,-0.527904342966713,volume_ratio_20 > 1.0 | rsi_14 < 35,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_096,qa_broad,4,-0.047431971617733854,-0.7190242406273786,-0.09868357740030728,0.36237373737373735,43,-0.3934784272790709,0.5384955044763777,0.09316926045665058,-0.6212715638548159,cmo_9 > 0 | roc_9 > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VJC,qa_116,volatility,5,-0.012467663907539705,-0.8446938626816898,-0.020768562855942196,0.12,7,-0.43024094308429534,0.4898171758368211,0.07008028998443629,-0.6227755270279369,volume_ratio_20 > 1.2 | close > kc_upper,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VJC,qa_060,volatility,1,-0.008205506939320206,-1.501458616920734,-0.008205506939320206,0.0,1,-0.754832061930027,0.0,0.0238775308854942,-0.7787095928155212,close <= bb_lower | volume_ratio_20 > 1.2 | bb_width < 0.12,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VJC,qa_046,hybrid,1,-0.22423011625714162,-1.3008087792579965,-0.30727368301756275,0.2,10,-0.7791281611096533,0.0,0.08991266376196554,-0.8690408248716188,supertrend_dir > 0 | rsi_14 > 50 | ema20 > ema50,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VJC,qa_107,volume,5,-0.035951424869125906,-1.5416021736193923,-0.048995078140348224,0.08444444444444445,30,-0.7913855298985035,0.5379168460589514,0.07575693919390368,-1.001621680607145,volume_ratio_20 > 1.2 | close > vwma20 | obv > obv_ema20,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VJC,qa_006,hybrid,2,-0.07244896550920926,-1.550018533048755,-0.1167669849339984,0.2833333333333333,19,-0.82009735316394,0.7241145980144119,0.04569426206083559,-1.0468202647283784,adx_14 > 20 | obv > obv_ema20,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_099,volume,2,-0.018461180763964302,-2.0133747902407837,-0.018461180763964302,0.0,2,-1.0159179855023743,0.0022676765862241566,0.06821048118514529,-1.0846953858340758,obv > obv_ema20 | volume_ratio_20 > 1.2 | breakout_20_high >= True,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_049,trend,1,-0.34245884531671444,-1.865329694884999,-0.44827328710353576,0.23529411764705882,17,-1.125057158458221,0.0,0.11159342133225325,-1.2366505797904743,aroon_osc_14 > 0 | close > ema200,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VJC,qa_086,hybrid,3,-0.02262815223352399,-2.2243053491347755,-0.02262815223352399,0.0,4,-1.1234667506841498,0.18628682684216805,0.06768717107406802,-1.2377256284687599,breakout_20_high >= True | supertrend_dir > 0 | volume_ratio_20 > 1.2,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VJC,qa_104,qa_broad,4,-0.0734478180150103,-1.9452158974468892,-0.10376327616649395,0.14296814296814297,43,-1.0153949493612464,0.8396860706145698,0.07692878746578127,-1.3022452544806702,linreg_slope_14 > 0 | cmo_9 > 0 | roc_9 > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
