hypothesis,symbol,signal_date,entry_date,exit_date,hold,entry_price,exit_price,pnl_pct,holding_bars,rank
leader_pullback_market_healthy,BCM,2026-01-14,2026-01-15,2026-04-16,60,74.31,55.0,-25.985735432647022,60,3.75
leader_pullback_market_healthy,GVR,2026-01-14,2026-01-15,2026-01-29,10,36.35,40.85,12.379642365887207,10,2.5
leader_pullback_market_healthy,GVR,2026-01-14,2026-01-15,2026-02-12,20,36.35,35.35,-2.7510316368638237,20,2.5
leader_pullback_market_healthy,GVR,2026-01-14,2026-01-15,2026-03-05,30,36.35,40.55,11.554332874828047,30,2.5
leader_pullback_market_healthy,GVR,2026-01-14,2026-01-15,2026-04-16,60,36.35,32.2,-11.416781292984865,60,2.5
leader_pullback_market_healthy,PLX,2026-01-14,2026-01-15,2026-01-29,10,48.1,57.7,19.95841995841996,10,2.125
leader_pullback_market_healthy,PLX,2026-01-14,2026-01-15,2026-02-12,20,48.1,51.7,7.484407484407487,20,2.125
leader_pullback_market_healthy,PLX,2026-01-14,2026-01-15,2026-03-05,30,48.1,64.7,34.511434511434516,30,2.125
leader_pullback_market_healthy,PLX,2026-01-14,2026-01-15,2026-04-16,60,48.1,39.1,-18.71101871101871,60,2.125
leader_pullback_market_healthy,BID,2026-01-14,2026-01-15,2026-01-29,10,52.6,51.9,-1.3307984790874579,10,1.625
leader_pullback_market_healthy,BID,2026-01-14,2026-01-15,2026-02-12,20,52.6,47.55,-9.600760456273772,20,1.625
leader_pullback_market_healthy,BID,2026-01-14,2026-01-15,2026-03-05,30,52.6,44.4,-15.589353612167304,30,1.625
leader_pullback_market_healthy,BID,2026-01-14,2026-01-15,2026-04-16,60,52.6,40.2,-23.57414448669201,60,1.625
leader_pullback_market_healthy,HDB,2026-01-15,2026-01-16,2026-01-30,10,29.5,28.3,-4.067796610169489,10,3.25
leader_pullback_market_healthy,HDB,2026-01-15,2026-01-16,2026-02-13,20,29.5,28.2,-4.406779661016951,20,3.25
leader_pullback_market_healthy,HDB,2026-01-15,2026-01-16,2026-03-06,30,29.5,25.9,-12.203389830508478,30,3.25
leader_pullback_market_healthy,HDB,2026-01-15,2026-01-16,2026-04-17,60,29.5,26.2,-11.186440677966104,60,3.25
leader_pullback_market_healthy,BVH,2026-01-15,2026-01-16,2026-01-30,10,78.0,69.8,-10.512820512820516,10,2.6875
leader_pullback_market_healthy,BVH,2026-01-15,2026-01-16,2026-02-13,20,78.0,76.0,-2.5641025641025643,20,2.6875
leader_pullback_market_healthy,BVH,2026-01-15,2026-01-16,2026-03-06,30,78.0,76.6,-1.7948717948718023,30,2.6875
leader_pullback_market_healthy,BVH,2026-01-15,2026-01-16,2026-04-17,60,78.0,72.6,-6.9230769230769305,60,2.6875
leader_pullback_market_healthy,BCM,2026-01-15,2026-01-16,2026-01-30,10,73.72,66.94,-9.196961475854586,10,2.375
leader_pullback_market_healthy,BCM,2026-01-15,2026-01-16,2026-02-13,20,73.72,63.3,-14.1345632121541,20,2.375
leader_pullback_market_healthy,BCM,2026-01-15,2026-01-16,2026-03-06,30,73.72,58.6,-20.510037981551815,30,2.375
leader_pullback_market_healthy,BCM,2026-01-15,2026-01-16,2026-04-17,60,73.72,55.7,-24.443841562669554,60,2.375
leader_pullback_market_healthy,PLX,2026-01-15,2026-01-16,2026-01-30,10,52.0,58.9,13.269230769230766,10,1.6875
leader_pullback_market_healthy,PLX,2026-01-15,2026-01-16,2026-02-13,20,52.0,52.0,0.0,20,1.6875
leader_pullback_market_healthy,PLX,2026-01-15,2026-01-16,2026-03-06,30,52.0,62.0,19.23076923076923,30,1.6875
leader_pullback_market_healthy,PLX,2026-01-15,2026-01-16,2026-04-17,60,52.0,39.95,-23.17307692307692,60,1.6875
leader_pullback_market_healthy,FPT,2026-01-16,2026-01-19,2026-02-02,10,108.7,104.3,-4.047838086476546,10,4.0
leader_pullback_market_healthy,FPT,2026-01-16,2026-01-19,2026-02-23,20,108.7,94.5,-13.063477460901566,20,4.0
leader_pullback_market_healthy,FPT,2026-01-16,2026-01-19,2026-03-09,30,108.7,75.9,-30.174793008279664,30,4.0
leader_pullback_market_healthy,FPT,2026-01-16,2026-01-19,2026-04-20,60,108.7,76.9,-29.254829806807724,60,4.0
leader_pullback_market_healthy,VCB,2026-01-19,2026-01-20,2026-02-03,10,74.0,71.8,-2.972972972972977,10,4.0
leader_pullback_market_healthy,VCB,2026-01-19,2026-01-20,2026-02-24,20,74.0,65.0,-12.162162162162161,20,4.0
leader_pullback_market_healthy,VCB,2026-01-19,2026-01-20,2026-03-10,30,74.0,60.4,-18.378378378378383,30,4.0
leader_pullback_market_healthy,VCB,2026-01-19,2026-01-20,2026-04-21,60,74.0,59.6,-19.459459459459456,60,4.0
leader_pullback_market_healthy,GVR,2026-01-19,2026-01-20,2026-02-03,10,39.2,42.8,9.18367346938774,10,2.5
leader_pullback_market_healthy,GVR,2026-01-19,2026-01-20,2026-02-24,20,39.2,39.45,0.6377551020408163,20,2.5
leader_pullback_market_healthy,GVR,2026-01-19,2026-01-20,2026-03-10,30,39.2,33.35,-14.923469387755103,30,2.5
leader_pullback_market_healthy,GVR,2026-01-19,2026-01-20,2026-04-21,60,39.2,32.65,-16.709183673469397,60,2.5
leader_pullback_market_healthy,PLX,2026-01-19,2026-01-20,2026-02-03,10,58.4,60.0,2.739726027397263,10,1.5
leader_pullback_market_healthy,PLX,2026-01-19,2026-01-20,2026-02-24,20,58.4,57.7,-1.1986301369862942,20,1.5
leader_pullback_market_healthy,PLX,2026-01-19,2026-01-20,2026-03-10,30,58.4,53.7,-8.047945205479444,30,1.5
leader_pullback_market_healthy,PLX,2026-01-19,2026-01-20,2026-04-21,60,58.4,39.35,-32.61986301369863,60,1.5
leader_pullback_market_healthy,VCB,2026-01-20,2026-01-21,2026-02-04,10,72.8,70.8,-2.7472527472527473,10,3.333333333333333
leader_pullback_market_healthy,VCB,2026-01-20,2026-01-21,2026-02-25,20,72.8,65.1,-10.57692307692308,20,3.333333333333333
leader_pullback_market_healthy,VCB,2026-01-20,2026-01-21,2026-03-11,30,72.8,60.4,-17.03296703296703,30,3.333333333333333
leader_pullback_market_healthy,VCB,2026-01-20,2026-01-21,2026-04-22,60,72.8,59.4,-18.406593406593405,60,3.333333333333333
leader_pullback_market_healthy,BID,2026-01-20,2026-01-21,2026-02-04,10,52.6,53.0,0.7604562737642558,10,2.4999999999999996
