symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
SHB,BREAKOUT_FLOW,2023-11-08,2023-11-09,8.27,8.0,9.0,2023-11-09,8.0,DIST_EXIT,-1.69,0,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
SHB,MONEY_IN,2024-01-03,2024-01-04,8.19,8.0,8.0,2024-01-11,9.0,DIST_EXIT,5.37,5,regime=MONEY_IN | score=5 | mkt=UPTREND | money_in
SHB,MONEY_IN,2025-02-04,2025-02-05,8.02,8.0,8.0,2025-02-05,8.0,SL,-0.25,0,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
SHB,MONEY_IN,2025-02-17,2025-02-18,8.33,8.0,9.0,2025-03-19,10.0,DIST_EXIT,17.53,21,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
SHB,BREAKOUT_FLOW,2025-03-24,2025-03-25,10.5,10.0,11.0,2025-03-25,10.0,DIST_EXIT,-0.67,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
SHB,BREAKOUT_FLOW,2025-05-15,2025-05-16,11.34,11.0,12.0,2025-06-12,11.0,DIST_EXIT,1.15,19,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
SHB,BREAKOUT_FLOW,2025-07-07,2025-07-08,12.3,12.0,13.0,2025-07-09,12.0,DIST_EXIT,-0.41,1,regime=BREAKOUT_FLOW | score=6 | mkt=UPTREND | breakout_flow | money_in
SHB,MONEY_IN,2025-07-21,2025-07-22,12.73,12.0,14.0,2025-07-29,14.0,DIST_EXIT,8.64,5,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
SHB,MONEY_IN,2025-07-30,2025-07-31,14.96,14.0,16.0,2025-08-05,16.0,DIST_EXIT,8.42,3,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
SHB,MONEY_IN,2025-09-24,2025-09-25,17.1,16.0,19.0,2025-10-09,18.0,DIST_EXIT,3.45,10,regime=MONEY_IN | score=5 | mkt=SIDEWAY | money_in
SHB,MONEY_IN,2025-12-24,2025-12-25,16.66,16.0,18.0,2025-12-26,16.0,SL,-3.96,1,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
SHB,MONEY_IN,2026-02-25,2026-02-26,16.07,16.0,16.0,2026-02-26,16.0,SL,-0.44,0,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
SSB,MONEY_IN,2023-08-01,2023-08-02,26.32,26.0,27.0,2023-08-04,26.0,SL,-1.22,2,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
SSB,BREAKOUT_FLOW,2024-08-22,2024-08-23,19.65,19.0,21.0,2024-08-30,19.0,SL,-3.31,5,regime=BREAKOUT_FLOW | score=6 | mkt=SIDEWAY | breakout_flow | money_in
SSB,MONEY_IN,2025-07-22,2025-07-23,20.0,19.0,22.0,2025-07-29,20.0,TSL,0.0,4,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
TPB,MONEY_IN,2023-01-17,2023-01-18,10.74,10.0,12.0,2023-01-30,11.0,DIST_EXIT,3.91,3,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
TPB,BREAKOUT_FLOW,2023-01-31,2023-02-01,11.65,11.0,13.0,2023-02-01,11.0,SL,-5.58,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,MONEY_IN,2023-03-09,2023-03-10,11.29,11.0,12.0,2023-04-10,12.0,DIST_EXIT,5.14,21,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
TPB,MONEY_IN,2023-05-15,2023-05-16,12.36,12.0,13.0,2023-05-19,12.0,SL,-2.91,3,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
TPB,BREAKOUT_FLOW,2023-05-29,2023-05-30,12.7,12.0,14.0,2023-06-05,14.0,DIST_EXIT,6.3,4,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,MONEY_IN,2023-06-07,2023-06-08,13.63,13.0,15.0,2023-06-15,13.0,SL,-4.62,5,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
TPB,BREAKOUT_FLOW,2023-07-18,2023-07-19,13.69,13.0,15.0,2023-07-19,13.0,DIST_EXIT,-1.61,0,regime=BREAKOUT_FLOW | score=6 | mkt=UPTREND | breakout_flow | money_in
TPB,BREAKOUT_FLOW,2023-08-30,2023-08-31,14.14,14.0,14.0,2023-08-31,14.0,SL,-0.99,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,MONEY_IN,2023-09-06,2023-09-07,14.26,14.0,15.0,2023-09-07,14.0,DIST_EXIT,-0.84,0,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
TPB,MONEY_IN,2023-09-20,2023-09-21,14.04,14.0,14.0,2023-09-21,14.0,SL,-0.28,0,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
TPB,MONEY_IN,2023-12-06,2023-12-07,12.6,12.0,14.0,2024-01-02,12.0,DIST_EXIT,-1.43,17,regime=MONEY_IN | score=3 | mkt=SIDEWAY | money_in
TPB,BREAKOUT_FLOW,2024-01-10,2024-01-11,13.31,13.0,14.0,2024-01-11,13.0,DIST_EXIT,-0.75,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,MONEY_IN,2024-01-12,2024-01-15,13.5,13.0,14.0,2024-01-31,13.0,SL,-3.7,12,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
TPB,MONEY_IN,2024-02-05,2024-02-06,13.14,13.0,13.0,2024-02-15,14.0,DIST_EXIT,3.5,2,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
TPB,BREAKOUT_FLOW,2024-02-21,2024-02-22,14.04,14.0,14.0,2024-02-22,14.0,SL,-0.28,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,MONEY_IN,2024-02-28,2024-02-29,14.4,14.0,15.0,2024-02-29,14.0,DIST_EXIT,-0.76,0,regime=MONEY_IN | score=5 | mkt=UPTREND | money_in
TPB,MONEY_IN,2024-05-09,2024-05-10,13.1,13.0,13.0,2024-05-10,13.0,SL,-0.76,0,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
TPB,BREAKOUT_FLOW,2024-06-13,2024-06-14,13.69,13.0,15.0,2024-06-24,13.0,SL,-5.04,6,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,BREAKOUT_FLOW,2024-09-26,2024-09-27,15.1,15.0,15.0,2024-09-27,15.0,SL,-0.66,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,BREAKOUT_FLOW,2024-10-02,2024-10-03,15.63,15.0,17.0,2024-10-03,16.0,DIST_EXIT,0.51,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,MONEY_IN,2025-02-04,2025-02-05,14.73,14.0,16.0,2025-02-20,15.0,DIST_EXIT,3.39,11,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
TPB,BREAKOUT_FLOW,2025-05-12,2025-05-13,13.29,13.0,14.0,2025-05-13,13.0,SL,-2.18,0,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
TPB,BREAKOUT_FLOW,2025-07-07,2025-07-08,13.29,13.0,14.0,2025-07-08,13.0,DIST_EXIT,1.05,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
TPB,BREAKOUT_FLOW,2025-07-09,2025-07-10,14.29,14.0,15.0,2025-07-10,14.0,SL,-2.03,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
