strategy,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars,state,score
SMT_SCORE_RS_QUALITY,VPB,2021-09-21,2021-09-22,2021-10-20,21.84,22.49,2.9761904761904696,20,NEUTRAL,70.37244897959184
SMT_SCORE_RS_QUALITY,BVH,2021-09-22,2021-09-23,2021-10-21,51.5,51.93,0.834951456310679,20,NEUTRAL,77.13775510204081
SMT_SCORE_RS_QUALITY,HPG,2021-09-29,2021-09-30,2021-10-28,30.79,33.26,8.022085092562516,20,HOT_AND_EXHAUSTED,70.17857142857143
SMT_SCORE_RS_QUALITY,TPB,2021-10-01,2021-10-04,2021-11-01,14.78,14.98,1.3531799729364078,20,HOT_BUT_STRONG,82.23979591836735
SMT_SCORE_RS_QUALITY,PLX,2021-10-04,2021-10-05,2021-11-02,47.84,47.66,-0.3762541806020209,20,NEUTRAL,77.87755102040816
SMT_SCORE_RS_QUALITY,VJC,2021-10-04,2021-10-05,2021-11-02,131.4,132.0,0.4566210045662057,20,NEUTRAL,80.11224489795919
SMT_SCORE_RS_QUALITY,POW,2021-10-05,2021-10-06,2021-11-03,10.62,10.41,-1.9774011299434944,20,NEUTRAL,76.11224489795919
SMT_SCORE_RS_QUALITY,SHB,2021-10-05,2021-10-11,2021-11-08,12.83,13.39,4.3647700701480945,20,NEUTRAL,74.12755102040816
SMT_SCORE_RS_QUALITY,GAS,2021-10-05,2021-10-06,2021-11-03,73.1,80.48,10.095759233926142,20,HOT_BUT_STRONG,85.9795918367347
SMT_SCORE_RS_QUALITY,TCB,2021-10-11,2021-10-12,2021-11-09,25.23,24.71,-2.0610384462940927,20,NEUTRAL,80.10714285714286
SMT_SCORE_RS_QUALITY,SSB,2021-10-13,2021-10-14,2021-11-11,21.1,21.08,-0.09478672985783472,20,NEUTRAL,80.62755102040816
SMT_SCORE_RS_QUALITY,MWG,2021-10-15,2021-10-18,2021-11-15,63.63,67.08,5.421970768505415,20,NEUTRAL,73.62244897959184
SMT_SCORE_RS_QUALITY,VRE,2021-10-20,2021-10-21,2021-11-18,30.85,31.1,0.8103727714748784,20,NEUTRAL,74.35714285714286
SMT_SCORE_RS_QUALITY,GVR,2021-10-25,2021-10-26,2021-11-23,36.74,35.05,-4.599891126837248,20,NEUTRAL,74.85714285714286
SMT_SCORE_RS_QUALITY,BVH,2021-10-25,2021-10-26,2021-11-23,56.6,54.77,-3.233215547703177,20,NEUTRAL,77.88265306122449
SMT_SCORE_RS_QUALITY,BCM,2021-11-02,2021-11-03,2021-12-01,50.69,51.34,1.2823042020122424,20,NEUTRAL,84.18367346938776
SMT_SCORE_RS_QUALITY,VIB,2021-11-03,2021-11-04,2021-12-02,14.49,15.99,10.351966873706004,20,NEUTRAL,82.11224489795919
SMT_SCORE_RS_QUALITY,CTG,2021-11-03,2021-11-04,2021-12-02,19.89,20.24,1.7596782302664549,20,NEUTRAL,82.37755102040816
SMT_SCORE_RS_QUALITY,BID,2021-11-04,2021-11-05,2021-12-03,25.26,24.11,-4.552652414885202,20,NEUTRAL,80.62244897959184
SMT_SCORE_RS_QUALITY,POW,2021-11-18,2021-11-19,2021-12-17,12.23,14.13,15.535568274734262,20,NEUTRAL,79.62244897959184
SMT_SCORE_RS_QUALITY,SSI,2021-11-18,2021-11-19,2021-12-17,30.14,31.64,4.976775049767751,20,NEUTRAL,79.63265306122449
SMT_SCORE_RS_QUALITY,HDB,2021-11-19,2021-11-22,2021-12-20,12.55,12.06,-3.9043824701195233,20,NEUTRAL,77.65306122448979
SMT_SCORE_RS_QUALITY,STB,2021-11-26,2021-11-29,2021-12-27,30.1,28.1,-6.644518272425249,20,NEUTRAL,71.37244897959184
SMT_SCORE_RS_QUALITY,VIC,2021-12-02,2021-12-03,2021-12-31,54.55,47.55,-12.832263978001833,20,NEUTRAL,76.87755102040816
SMT_SCORE_RS_QUALITY,TPB,2021-12-08,2021-12-09,2022-01-07,17.64,19.1,8.27664399092971,20,NEUTRAL,80.21938775510205
SMT_SCORE_RS_QUALITY,SSB,2021-12-14,2021-12-15,2022-01-13,22.65,23.73,4.76821192052981,20,NEUTRAL,72.12244897959184
SMT_SCORE_RS_QUALITY,BCM,2021-12-15,2021-12-16,2022-01-14,60.75,72.01,18.53497942386832,20,NEUTRAL,84.38775510204081
SMT_SCORE_RS_QUALITY,VIB,2021-12-20,2021-12-21,2022-01-19,16.92,16.24,-4.018912529550846,20,NEUTRAL,70.60714285714286
SMT_SCORE_RS_QUALITY,POW,2021-12-20,2021-12-21,2022-01-19,14.96,13.27,-11.296791443850275,20,NEUTRAL,83.22448979591837
SMT_SCORE_RS_QUALITY,MSN,2021-12-21,2021-12-22,2022-01-20,138.98,123.42,-11.195855518779673,20,NEUTRAL,77.35714285714286
SMT_SCORE_RS_QUALITY,STB,2021-12-30,2021-12-31,2022-02-07,30.7,35.6,15.960912052117271,20,NEUTRAL,72.27577319587628
SMT_SCORE_RS_QUALITY,VRE,2022-01-06,2022-01-07,2022-02-11,35.95,34.6,-3.755215577190546,20,NEUTRAL,80.86082474226804
SMT_SCORE_RS_QUALITY,BID,2022-01-07,2022-01-10,2022-02-14,28.43,32.46,14.17516707703131,20,NEUTRAL,80.03125
SMT_SCORE_RS_QUALITY,GAS,2022-01-12,2022-01-13,2022-02-17,73.17,79.6,8.787754544212099,20,NEUTRAL,76.86082474226804
SMT_SCORE_RS_QUALITY,TPB,2022-01-12,2022-01-13,2022-02-17,20.17,19.18,-4.908279623202786,20,NEUTRAL,74.66494845360825
SMT_SCORE_RS_QUALITY,VCB,2022-01-13,2022-01-14,2022-02-18,46.05,49.03,6.471226927252995,20,NEUTRAL,71.5721649484536
SMT_SCORE_RS_QUALITY,BCM,2022-01-14,2022-01-17,2022-02-21,72.01,78.09,8.443271767810023,20,NEUTRAL,80.66494845360825
SMT_SCORE_RS_QUALITY,VJC,2022-01-19,2022-01-20,2022-02-24,126.0,148.0,17.46031746031746,20,HOT_BUT_STRONG,80.86855670103093
SMT_SCORE_RS_QUALITY,MBB,2022-01-20,2022-01-21,2022-02-25,13.64,15.39,12.82991202346041,20,NEUTRAL,70.91494845360825
SMT_SCORE_RS_QUALITY,PLX,2022-01-26,2022-01-27,2022-03-03,50.91,55.12,8.269495187585939,20,NEUTRAL,72.66326530612245
SMT_SCORE_RS_QUALITY,VIB,2022-01-26,2022-01-27,2022-03-03,17.58,17.14,-2.5028441410693842,20,NEUTRAL,71.69897959183673
