date,equity,cash,positions,gross_exposure,portfolio_run
2025-07-07,105700.17660750089,1575.1766075008927,3,0.9850976918103928,leader_pullback_market_healthy
2025-07-08,106080.17660750089,1575.1766075008927,3,0.9851510748013828,leader_pullback_market_healthy
2025-07-09,106865.17660750089,1575.1766075008927,3,0.9852601506168256,leader_pullback_market_healthy
2025-07-10,107215.17660750089,1575.1766075008927,3,0.9853082683129145,leader_pullback_market_healthy
2025-07-11,107315.27254750089,4665.272547500896,4,0.9565274127647031,leader_pullback_market_healthy
2025-07-14,106429.4381030009,2773.438103000896,5,0.9739410622433541,leader_pullback_market_healthy
2025-07-15,106107.26454550089,655.264545500896,6,0.993824508168148,leader_pullback_market_healthy
2025-07-16,107578.4647705009,13348.464770500897,5,0.8759188021601031,leader_pullback_market_healthy
2025-07-17,108342.1358280009,10459.135828000897,6,0.9034619748995409,leader_pullback_market_healthy
2025-07-18,109535.1358280009,10459.135828000897,6,0.9045134170972818,leader_pullback_market_healthy
2025-07-21,108784.8847460009,279.8847460009001,7,0.9974271724729553,leader_pullback_market_healthy
2025-07-22,109885.8847460009,279.8847460009001,7,0.9974529508803807,leader_pullback_market_healthy
2025-07-23,110061.8847460009,279.8847460009001,7,0.9974570238675559,leader_pullback_market_healthy
2025-07-24,110282.4157460009,31202.4157460009,6,0.7170680789413849,leader_pullback_market_healthy
2025-07-25,111303.9799380009,7550.979938000904,8,0.9321589403882324,leader_pullback_market_healthy
2025-07-28,113967.9799380009,7550.979938000904,8,0.9337447242452778,leader_pullback_market_healthy
2025-07-29,110393.23955300091,54548.23955300091,7,0.5058733689320554,leader_pullback_market_healthy
2025-07-30,111798.61760700091,67569.61760700091,5,0.395613120687016,leader_pullback_market_healthy
2025-07-31,111281.66996900093,192.66996900092636,6,0.9982686279864905,leader_pullback_market_healthy
2025-08-01,111019.57450800092,2226.5745080009265,5,0.9799443069578648,leader_pullback_market_healthy
2025-08-04,117208.57450800092,2226.5745080009265,5,0.9810033138160132,leader_pullback_market_healthy
2025-08-05,122192.55203300093,10728.55203300093,4,0.9121996238354737,leader_pullback_market_healthy
2025-08-06,125081.68741300091,1474.6874130009292,5,0.9882102053186113,leader_pullback_market_healthy
2025-08-07,129992.68741300092,1474.6874130009292,5,0.9886556125398371,leader_pullback_market_healthy
2025-08-08,129425.03147900096,3597.031479000958,5,0.9722076059175263,leader_pullback_market_healthy
2025-08-11,129000.31332000096,1035.3133200009615,5,0.991974334841864,leader_pullback_market_healthy
2025-08-12,128292.31332000096,1035.3133200009615,5,0.9919300440282921,leader_pullback_market_healthy
2025-08-13,127190.26533300096,3194.2653330009643,6,0.9748859291657427,leader_pullback_market_healthy
